Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,hsa04670,Leukocyte transendothelial migration,,-2.4,9.7,4.8,30284,116,81,3,3.7,2.1,81|4478|5879,ACTN4|MSN|RAC1,-0.52,Down
GO Biological Processes,19,GO:0051668,localization within membrane,19_GO:0051179 localization,-2.4,4,3.7,30284,561,81,6,7.4,2.9,2060|4000|5879|8724|9053|10133,EPS15|LMNA|RAC1|SNX3|MAP7|OPTN,-0.5,Down
Reactome Gene Sets,6,R-HSA-1632852,Macroautophagy,,-2.4,9.3,4.7,30284,121,81,3,3.7,2.1,3312|7334|7415,HSPA8|UBE2N|VCP,-0.47,Down
GO Biological Processes,19,GO:0022604,regulation of cell morphogenesis,19_GO:0032502 developmental process,-2.4,6.1,4.1,30284,247,81,4,4.9,2.4,226|4478|5879|6678,ALDOA|MSN|RAC1|SPARC,-0.46,Down
GO Biological Processes,19,GO:0031401,positive regulation of protein modification process,19_GO:0048518 positive regulation of biological process,-2.4,3.9,3.6,30284,574,81,6,7.4,2.9,351|1950|5879|7334|7415|10961,APP|EGF|RAC1|UBE2N|VCP|ERP29,-0.46,Down
KEGG Pathway,24,hsa05131,Shigellosis,,-2.3,6,4.1,30284,250,81,4,4.9,2.4,81|823|5879|7334,ACTN4|CAPN1|RAC1|UBE2N,-0.44,Down
GO Biological Processes,19,GO:0016052,carbohydrate catabolic process,19_GO:0009987 cellular process,-2.3,9,4.6,30284,125,81,3,3.7,2.1,226|4125|11164,ALDOA|MAN2B1|NUDT5,-0.44,Down
KEGG Pathway,24,hsa04144,Endocytosis,,-2.3,5.9,4.1,30284,252,81,4,4.9,2.4,2060|3312|8724|10015,EPS15|HSPA8|SNX3|PDCD6IP,-0.43,Down
GO Biological Processes,19,GO:0010811,positive regulation of cell-substrate adhesion,19_GO:0048518 positive regulation of biological process,-2.3,8.9,4.6,30284,126,81,3,3.7,2.1,4811|5034|5879,NID1|P4HB|RAC1,-0.43,Down
GO Biological Processes,19,GO:0048259,regulation of receptor-mediated endocytosis,19_GO:0051179 localization,-2.3,8.8,4.6,30284,128,81,3,3.7,2.1,351|1950|5879,APP|EGF|RAC1,-0.42,Down
GO Biological Processes,19,GO:0019752,carboxylic acid metabolic process,19_GO:0009987 cellular process,-2.3,3.3,3.4,30284,783,81,7,8.6,3.1,39|226|2875|3945|5034|7360|56624,ACAT2|ALDOA|GPT|LDHB|P4HB|UGP2|ASAH2,-0.41,Down
WikiPathways,27,WP4217,Ebola virus infection in host,,-2.3,8.7,4.5,30284,129,81,3,3.7,2.1,81|2060|5879,ACTN4|EPS15|RAC1,-0.41,Down
GO Biological Processes,19,GO:0071345,cellular response to cytokine stimulus,19_GO:0050896 response to stimulus,-2.3,3.3,3.4,30284,787,81,7,8.6,3.1,81|780|2923|5034|7114|56624|79168,ACTN4|DDR1|PDIA3|P4HB|TMSB4X|ASAH2|LILRA6,-0.41,Down
Reactome Gene Sets,6,R-HSA-9612973,Autophagy,,-2.3,8.4,4.4,30284,133,81,3,3.7,2.1,3312|7334|7415,HSPA8|UBE2N|VCP,-0.38,Down
GO Biological Processes,19,GO:0098876,vesicle-mediated transport to the plasma membrane,19_GO:0051179 localization,-2.3,8.4,4.4,30284,134,81,3,3.7,2.1,2060|8724|10133,EPS15|SNX3|OPTN,-0.37,Down
GO Biological Processes,19,GO:1901292,nucleoside phosphate catabolic process,19_GO:0009987 cellular process,-2.3,8.4,4.4,30284,134,81,3,3.7,2.1,226|7415|11164,ALDOA|VCP|NUDT5,-0.37,Down
GO Biological Processes,19,GO:0048732,gland development,19_GO:0032502 developmental process,-2.2,4.4,3.6,30284,428,81,5,6.2,2.7,780|823|1950|4478|4830,DDR1|CAPN1|EGF|MSN|NME1,-0.35,Down
