Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP85,Focal adhesion,,-2.8,2.6,3.7,21222,185,565,13,2.3,0.63,14268|15234|16000|16402|16773|16776|16779|18654|21827|23797|81877|109711|192176,Fn1|Hgf|Igf1|Itga5|Lama2|Lama5|Lamb2|Pgf|Thbs3|Akt3|Tnxb|Actn1|Flna,-1.3,Down
GO Biological Processes,19,GO:0099172,presynapse organization,19_GO:0009987 cellular process,-2.8,5.9,4.6,21222,32,565,5,0.88,0.39,19280|70549|102866|216856|219228,Ptprs|Tln2|Pls3|Nlgn2|Pcdh17,-1.3,Down
GO Biological Processes,19,GO:0021533,cell differentiation in hindbrain,19_GO:0032502 developmental process,-2.8,5.9,4.6,21222,32,565,5,0.88,0.39,14461|18032|19130|19883|72393,Gata2|Nfix|Prox1|Rora|Faim2,-1.3,Down
GO Biological Processes,19,GO:0031401,positive regulation of protein modification process,19_GO:0048518 positive regulation of biological process,-2.8,1.8,3.4,21222,625,565,30,5.3,0.94,11514|13653|14170|14182|14370|15894|16000|16176|16429|16590|17872|18011|18129|18214|18606|19218|22068|22359|26564|27103|56312|63913|68655|77569|93834|94275|106042|121021|223864|269881,Adcy8|Egr1|Fgf15|Fgfr1|Fzd8|Icam1|Igf1|Il1b|Itln1|Kit|Ppp1r15a|Neurl1a|Notch2|Ddr2|Enpp2|Ptger3|Trpc6|Vldlr|Ror2|Eif2ak4|Nupr1|Niban1|Fndc1|Limch1|Peli2|Maged1|Prickle1|Cspg4|Rapgef3|Map3k10,-1.3,Down
GO Biological Processes,19,GO:0043506,regulation of JUN kinase activity,19_GO:0050789 regulation of biological process,-2.8,4.8,4.3,21222,47,565,6,1.1,0.43,14370|16176|20377|26564|54612|269881,Fzd8|Il1b|Sfrp1|Ror2|Sfrp5|Map3k10,-1.3,Down
GO Biological Processes,19,GO:0071526,semaphorin-plexin signaling pathway,19_GO:0050896 response to stimulus,-2.8,4.8,4.3,21222,47,565,6,1.1,0.43,18187|20353|192176|218877|235611|243743,Nrp2|Sema4c|Flna|Sema3g|Plxnb1|Plxna4,-1.3,Down
GO Biological Processes,19,GO:0050919,negative chemotaxis,19_GO:0040011 locomotion,-2.8,4.8,4.3,21222,47,565,6,1.1,0.43,18187|18208|20353|20564|218877|243743,Nrp2|Ntn1|Sema4c|Slit3|Sema3g|Plxna4,-1.3,Down
GO Biological Processes,19,GO:0045766,positive regulation of angiogenesis,19_GO:0032502 developmental process,-2.8,2.6,3.7,21222,186,565,13,2.3,0.63,14461|15234|15507|16176|16402|18127|18654|20292|23797|23892|54409|76905|223864,Gata2|Hgf|Hspb1|Il1b|Itga5|Nos3|Pgf|Ccl11|Akt3|Grem1|Ramp2|Lrg1|Rapgef3,-1.3,Down
GO Biological Processes,19,GO:0071900,regulation of protein serine/threonine kinase activity,19_GO:0050789 regulation of biological process,-2.8,2.6,3.7,21222,186,565,13,2.3,0.63,13132|14182|14370|16176|16590|19252|20377|26564|54612|77446|94275|214444|269881,Dab2|Fgfr1|Fzd8|Il1b|Kit|Dusp1|Sfrp1|Ror2|Sfrp5|Heg1|Maged1|Cdk5rap2|Map3k10,-1.3,Down
GO Biological Processes,19,GO:0043405,regulation of MAP kinase activity,19_GO:0050789 regulation of biological process,-2.8,3.1,3.8,21222,121,565,10,1.8,0.55,14182|14370|16176|16590|19252|20377|26564|54612|94275|269881,Fgfr1|Fzd8|Il1b|Kit|Dusp1|Sfrp1|Ror2|Sfrp5|Maged1|Map3k10,-1.3,Down
GO Biological Processes,19,GO:0120162,positive regulation of cold-induced thermogenesis,19_GO:0042592 homeostatic process,-2.8,3.3,3.9,21222,101,565,9,1.6,0.53,13166|14245|14373|14783|16819|16847|22368|53422|236266,Dbh|Lpin1|G0s2|Grb10|Lcn2|Lepr|Trpv2|Ybx2|Alms1,-1.3,Down
KEGG Pathway,24,mmu04933,AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse),,-2.8,3.3,3.9,21222,101,565,9,1.6,0.53,13653|14268|15894|16176|18127|18798|21808|23797|237038,Egr1|Fn1|Icam1|Il1b|Nos3|Plcb4|Tgfb2|Akt3|Nox1,-1.3,Down
GO Biological Processes,19,GO:0007162,negative regulation of cell adhesion,19_GO:0048519 negative regulation of biological process,-2.8,2.2,3.5,21222,331,565,19,3.4,0.76,11898|12505|14634|15284|15507|15530|18128|18576|18606|19122|19252|20720|26971|50768|56468|66214|72349|229473|235611,Ass1|Cd44|Gli3|Hlx|Hspb1|Hspg2|Notch1|Pde3b|Enpp2|Prnp|Dusp1|Serpine2|Pla2g2f|Dlc1|Socs5|Rgcc|Dusp3|Tmem131l|Plxnb1,-1.3,Down
GO Biological Processes,19,GO:0001667,ameboidal-type cell migration,19_GO:0009987 cellular process,-2.8,2.7,3.7,21222,164,565,12,2.1,0.61,14170|14268|16590|16776|18133|18187|19130|20353|21961|75723|76905|218877,Fgf15|Fn1|Kit|Lama5|Ccn3|Nrp2|Prox1|Sema4c|Tns1|Amotl1|Lrg1|Sema3g,-1.3,Down
GO Biological Processes,19,GO:0007159,leukocyte cell-cell adhesion,19_GO:0009987 cellular process,-2.8,4.1,4.1,21222,64,565,7,1.2,0.47,12505|15894|16176|16402|17123|20344|76905,Cd44|Icam1|Il1b|Itga5|Madcam1|Selp|Lrg1,-1.3,Down
GO Biological Processes,19,GO:0030514,negative regulation of BMP signaling pathway,19_GO:0048519 negative regulation of biological process,-2.8,4.1,4.1,21222,64,565,7,1.2,0.47,18128|20377|23892|23893|68010|78558|83453,Notch1|Sfrp1|Grem1|Grem2|Bambi|Htra3|Chrdl1,-1.3,Down
GO Biological Processes,19,GO:0036293,response to decreased oxygen levels,19_GO:0050896 response to stimulus,-2.8,2.1,3.5,21222,357,565,20,3.5,0.78,13653|16523|16526|16819|18128|18214|18654|19883|20377|20541|20657|21808|22068|22229|22359|63959|66214|68655|94352|219033,Egr1|Kcnj8|Kcnk2|Lcn2|Notch1|Ddr2|Pgf|Rora|Sfrp1|Slc8a1|Sod3|Tgfb2|Trpc6|Ucp3|Vldlr|Slc29a1|Rgcc|Fndc1|Loxl2|Ang4,-1.3,Down
GO Biological Processes,19,GO:0034329,cell junction assembly,19_GO:0009987 cellular process,-2.8,2.2,3.5,21222,307,565,18,3.2,0.74,14268|14396|16402|16523|17475|17762|19280|21961|50768|54409|58234|69524|109711|216856|219228|235611|243743|269116,Fn1|Gabra3|Itga5|Kcnj8|Mpdz|Mapt|Ptprs|Tns1|Dlc1|Ramp2|Shank3|Esam|Actn1|Nlgn2|Pcdh17|Plxnb1|Plxna4|Nfasc,-1.3,Down
GO Biological Processes,19,GO:0034763,negative regulation of transmembrane transport,19_GO:0051179 localization,-2.8,2.9,3.7,21222,143,565,11,1.9,0.58,14783|16176|19218|19274|21808|23921|26903|53814|72401|98496|98660,Grb10|Il1b|Ptger3|Ptprm|Tgfb2|Sh2b2|Dysf|Oaz3|Slc43a1|Pid1|Atp1a2,-1.3,Down
GO Biological Processes,19,GO:0048661,positive regulation of smooth muscle cell proliferation,19_GO:0048518 positive regulation of biological process,-2.8,3.1,3.8,21222,122,565,10,1.8,0.55,11504|13609|13653|16000|18131|18214|22402|66214|237038|240725,Adamts1|S1pr1|Egr1|Igf1|Notch3|Ddr2|Ccn4|Rgcc|Nox1|Sulf1,-1.3,Down
GO Biological Processes,19,GO:0035051,cardiocyte differentiation,19_GO:0032502 developmental process,-2.8,2.7,3.7,21222,165,565,12,2.1,0.61,16523|17880|18128|19130|20541|21808|23892|23966|24052|77579|106042|381157,Kcnj8|Myh11|Notch1|Prox1|Slc8a1|Tgfb2|Grem1|Tenm4|Sgcd|Myh10|Prickle1|Greb1l,-1.3,Down
GO Biological Processes,19,GO:0014855,striated muscle cell proliferation,19_GO:0009987 cellular process,-2.8,4.7,4.2,21222,48,565,6,1.1,0.43,14182|15234|18128|21808|23966|77579,Fgfr1|Hgf|Notch1|Tgfb2|Tenm4|Myh10,-1.3,Down
Reactome Gene Sets,6,R-MMU-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),,-2.8,4.7,4.2,21222,48,565,6,1.1,0.43,14170|14182|14186|16000|18576|214425,Fgf15|Fgfr1|Fgfr4|Igf1|Pde3b|Cilp,-1.3,Down
Reactome Gene Sets,6,R-MMU-9013405,RHOD GTPase cycle,,-2.8,4.7,4.2,21222,48,565,6,1.1,0.43,52331|70598|83397|84004|109711|235611,Stbd1|Filip1|Akap12|Mcam|Actn1|Plxnb1,-1.3,Down
GO Biological Processes,19,GO:0007389,pattern specification process,19_GO:0032502 developmental process,-2.8,1.9,3.4,21222,492,565,25,4.4,0.87,12614|14634|15227|15410|15414|15417|16776|17285|18012|18088|18128|18129|18187|18514|20377|22415|23892|23893|26564|68151|68713|83453|83675|106042|380718,Celsr1|Gli3|Foxf1|Hoxb3|Hoxb6|Hoxb9|Lama5|Meox1|Neurod1|Nkx2-2|Notch1|Notch2|Nrp2|Pbx1|Sfrp1|Wnt3|Grem1|Grem2|Ror2|Wls|Ifitm1|Chrdl1|Bicc1|Prickle1|Mks1,-1.3,Down
GO Biological Processes,19,GO:0008360,regulation of cell shape,19_GO:0032502 developmental process,-2.8,2.9,3.7,21222,144,565,11,1.9,0.58,14163|14268|14726|15894|16590|20292|68010|77579|80837|108100|235611,Fgd1|Fn1|Pdpn|Icam1|Kit|Ccl11|Bambi|Myh10|Rhoj|Baiap2|Plxnb1,-1.3,Down
GO Biological Processes,19,GO:0033002,muscle cell proliferation,19_GO:0009987 cellular process,-2.8,4,4.1,21222,65,565,7,1.2,0.47,14182|15234|18128|18133|21808|23966|77579,Fgfr1|Hgf|Notch1|Ccn3|Tgfb2|Tenm4|Myh10,-1.3,Down
GO Biological Processes,19,GO:0050890,cognition,19_GO:0032501 multicellular organismal process,-2.8,2,3.4,21222,412,565,22,3.9,0.81,11514|13166|13653|14371|16000|16176|16402|16526|16590|16819|17762|18032|19122|20292|22353|27103|50876|53901|58234|98660|223864|232813,Adcy8|Dbh|Egr1|Fzd9|Igf1|Il1b|Itga5|Kcnk2|Kit|Lcn2|Mapt|Nfix|Prnp|Ccl11|Vip|Eif2ak4|Tmod2|Rcan2|Shank3|Atp1a2|Rapgef3|Shisa7,-1.3,Down
