Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,hsa00480,Glutathione metabolism,,-4.1,11,6.9,30284,59,225,5,2.2,0.98,2876|2950|5226|9446|10314,GPX1|GSTP1|PGD|GSTO1|LANCL1,-2.3,down
GO Biological Processes,19,GO:0051492,regulation of stress fiber assembly,19_GO:0050789 regulation of biological process,-4.1,8.5,6.3,30284,95,225,6,2.7,1.1,961|998|5216|5345|9647|50848,CD47|CDC42|PFN1|SERPINF2|PPM1F|F11R,-2.3,down
GO Biological Processes,19,GO:0090316,positive regulation of intracellular protein transport,19_GO:0051179 localization,-4.1,8.5,6.3,30284,95,225,6,2.7,1.1,998|2010|2316|6469|7531|8536,CDC42|EMD|FLNA|SHH|YWHAE|CAMK1,-2.3,down
GO Biological Processes,19,GO:0006470,protein dephosphorylation,19_GO:0009987 cellular process,-4.1,8.5,6.3,30284,95,225,6,2.7,1.1,1845|4659|5515|5530|5777|9647,DUSP3|PPP1R12A|PPP2CA|PPP3CA|PTPN6|PPM1F,-2.3,down
GO Biological Processes,19,GO:1904950,negative regulation of establishment of protein localization,19_GO:0051179 localization,-4.1,6.8,5.9,30284,139,225,7,3.1,1.2,5530|5715|7295|9647|10434|11315|55432,PPP3CA|PSMD9|TXN|PPM1F|LYPLA1|PARK7|YOD1,-2.2,down
GO Biological Processes,19,GO:1901299,negative regulation of hydrogen peroxide-mediated programmed cell death,19_GO:0048519 negative regulation of biological process,-4.1,34,9.8,30284,12,225,3,1.3,0.76,10131|10399|11315,TRAP1|RACK1|PARK7,-2.2,down
Reactome Gene Sets,6,R-HSA-111447,Activation of BAD and translocation to mitochondria,,-4.1,34,9.8,30284,12,225,3,1.3,0.76,7531|7533|7534,YWHAE|YWHAH|YWHAZ,-2.2,down
Reactome Gene Sets,6,R-HSA-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,,-4.1,34,9.8,30284,12,225,3,1.3,0.76,7531|7533|7534,YWHAE|YWHAH|YWHAZ,-2.2,down
CORUM,33,CORUM:725,P2X7 receptor signalling complex,,-4.1,34,9.8,30284,12,225,3,1.3,0.76,3303|3312|3326,HSPA1A|HSPA8|HSP90AB1,-2.2,down
WikiPathways,27,WP4629,Aerobic glycolysis,,-4.1,34,9.8,30284,12,225,3,1.3,0.76,2023|5315|7167,ENO1|PKM|TPI1,-2.2,down
Reactome Gene Sets,6,R-HSA-74217,Purine salvage,,-4.1,34,9.8,30284,12,225,3,1.3,0.76,271|353|2766,AMPD2|APRT|GMPR,-2.2,down
